(Do Not Modify) Province,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Abbreviation,Created On
e87d2f54-cf45-e911-a97c-000d3af42a5a,QORyOWG+2fRcTuTi1IJI7+OAORohKREFOYf0CjsXs86QpSrWF2AHLKB2aKKrBbDoskGIiaA3Hkp2LzAq5j3V0w==,2019-03-13 20:34,Philippines,,2019-03-13 14:33
8e9661a7-6e6a-e811-8145-480fcff4b5b1,+0K00dn+fkrBuVUOJyAmKDxGOHma8SjNP6q1EsqSMxJmvHu+9gz9HoMbC9M9vw3yGCJcT7af6iUWBViYSUfoEw==,2018-06-07 16:20,Pichincha,,2018-06-07 10:20
0020468d-d9a5-e611-80bb-00155d64ab22,9bDrJ8hjt1TJvfx7yj9Kl0xGJpIBH2YlLlKHJvuq9EY1ux96iHBRB8H9EGR28M3+0AnCRYZf3+b5MF+izl5iUg==,2017-10-11 16:17,Prince Edward Island,PEI,2016-11-08 10:34
0220468d-d9a5-e611-80bb-00155d64ab22,wowO1poyBZVg1nbQQ92kesFhi51vEjB9V0Lk0D3Dz0ECrCTk9lt9J7y1faDWpu5CoL2igF7X1WYdqpZCl4Y7gA==,2017-10-11 16:17,Quebec,QC,2016-11-08 10:34
36252982-892d-e911-a97f-000d3af438b6,7TPBP4X8ToKr9LQ+Kj4bdtEgF6o5WOXvxW+I6NIFB30mFpucn7S2Z9ZSe8stHs3F45W+SaKjwMizCGtNiuhrcA==,2019-02-10 23:13,QUEENSLAND,,2019-02-10 16:13
0420468d-d9a5-e611-80bb-00155d64ab22,4fRdE61VPyoHQmstWYtdT9n0/W6Q1oXRSmHiEAbTVOVaNp5L2zCaF1yaleNfE+Q50aX7DvSZYVn8fnyr9rU7VA==,2017-10-11 16:17,QueensLand,QLD,2016-11-08 10:34
bd111b78-91eb-e811-817b-480fcff4b171,lOdujRtVYfB9NO+Red2yvZ78p/jniUTEPTp9vSnbx3hiWSkyhv0h4VG8yfuBCGhUokq2biY+uUK63BAOGY6UFg==,2018-11-19 0:25,Queensland Australia,QLD,2018-11-18 17:24
7b60ed77-dda5-e611-80bb-00155d64ab22,ikaTpY6Y3tS9K7gpG5pYKn19eW1ZQaJPDeVpdMylSp7LN/v7yQ+xlFwd0725sLhhuJ55lSWb0Hxpfnmv3K1liA==,2017-10-11 16:17,Rhode Island,RI,2017-09-14 14:08
55ca8a47-e626-e811-8137-480fcfeab9c1,MYK76zjuQnNR5VHdWEyo+rU+1ephI21HzpWxyL+MABNkn0UVoF+rrH32VPBNUG2sKmYa4psa39LzncEQJiOqDA==,2018-03-13 17:45,Santiago,,2018-03-13 11:45
0620468d-d9a5-e611-80bb-00155d64ab22,pW9f99IIf3XWwtBsHVr60pmwGuWqPlDEk2ZOIJBKeOmEE6LNGgRIpAHZ2pgrqm/45jte0huw1eP4F5rUBYCCTw==,2017-10-11 16:17,Saskatchewan,SK,2016-11-08 10:34
